video_path,video_name,fps,frame_count,processed_frames,sampled_frames,sample_frames_config,analysis_width_config,flow_every_n,mediapipe_every_n,mediapipe_checked_frames,resolution,analysis_resolution,brightness_mean,brightness_std,blur_mean,blur_std,edge_density_mean,edge_density_std,motion_mean,motion_std,occlusion_rate,hand_visibility_ratio,hand_detected_frames,person_area_ratio_mean,person_area_ratio_std,frontality_score,angle_variance,shoulder_angle_mean
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00196N.mp4,W00196N.mp4,29.97002997002997,101,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",87.87921223958334,26.15403850021616,492.50655038002554,58.99077616110718,0.025766059027777777,0.0011144665104149392,0.18887770692394537,0.15627415449612397,0.33333333333333337,1.0,4,0.33171857805012933,0.05176946371275626,0.9502960070967674,0.02191270391146342,-175.22171411965883
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00196T.mp4,W00196T.mp4,29.97002997002997,101,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",87.90224971064815,26.194887114987853,490.48028531615955,58.57984036209509,0.02603515625,0.0010632152490831787,0.18952241497622294,0.15680744793561396,0.33333333333333337,1.0,4,0.3389737855314194,0.05512623821085243,0.9522399008274078,0.01960529386997223,-115.51007140371824
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00197.mp4,W00197.mp4,29.97002997002997,130,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.46646918402776,24.256426458749388,288.35961009601857,38.21630948772436,0.024229600694444447,0.003960308848591909,0.16251913559707729,0.17061936434550676,0.5,1.0,3,0.34687762920634524,0.02354647470640408,0.9923983335494995,0.02047956585884094,-38.74099661342084
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00198.mp4,W00198.mp4,29.97002997002997,131,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",87.4278146701389,27.091909554754228,375.0736593483379,34.936555934462035,0.02496021412037037,0.001041214204958299,0.19290939837016843,0.19150661671222308,0.16666666666666663,1.0,5,0.3460079433990015,0.015524709942814515,0.9698578417301178,0.021588797370592754,-176.8457894715591
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00198B.mp4,W00198B.mp4,29.97002997002997,149,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",87.55264539930556,28.156435031419647,493.4258365632484,58.77427173955267,0.026808449074074075,0.00133431995449986,0.22457920438186688,0.18104481129887257,0.6666666666666667,1.0,2,0.3583000997640718,0.019394203213027865,0.9293726881345113,0.024143069982528687,-116.39236569967193
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00198N.mp4,W00198N.mp4,29.97002997002997,112,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",87.66178240740742,28.200440330053482,495.6374466893326,58.46136408731507,0.027327112268518517,0.0014516394470612702,0.261747431518002,0.23816153100086157,0.6666666666666667,1.0,2,0.35346284890029506,0.009761716160702214,0.9344877377152443,0.009259829918543497,-59.37059576046965
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00199.mp4,W00199.mp4,29.97002997002997,164,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.86104311342592,24.02109057893615,367.72383278244706,59.683176792628046,0.025351562499999997,0.004207354776991522,0.3645550789819522,0.2724135322409791,0.6666666666666667,1.0,2,0.359593588636865,0.022935995623407503,0.9652234852313996,0.015247964859008789,108.50483165871006
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00200.mp4,W00200.mp4,29.97002997002997,133,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.2480222800926,24.301548732839063,343.2525686976931,32.95536946814491,0.025060040509259262,0.0017406334269025492,0.13932479071346196,0.1143730557916352,0.5,1.0,3,0.3542576368817105,0.01684548004037667,0.98211191346248,0.019422526160875957,57.684191937149365
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00202.mp4,W00202.mp4,29.97002997002997,252,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.67731409143516,25.522706454125714,457.557770853917,13.570409629549243,0.027163628472222225,0.0016037649410368883,0.3086626344275745,0.21723243045878046,0.6666666666666667,1.0,2,0.36594026080680536,0.04153160832807729,0.9946077615022659,0.014780407150586447,-1.6049565366773966
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00203.mp4,W00203.mp4,29.97002997002997,261,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",90.64148726851852,23.903685610239197,421.81954928949307,14.412525231583308,0.025836226851851853,0.002536632347779757,0.5599786996502768,0.42260533548144724,0.6666666666666667,1.0,2,0.32242882073044754,0.07116476522701318,0.9043042908112208,0.012431696057319641,-118.57764810655006
