video,frames,pose_missing,hand_missing,face_missing,pose_detection,face_detection,left_hand_missing_rate,right_hand_missing_rate,both_hand_missing_rate,hand_detection_rate,usable,dataset
39850.npz,60,0.0,0.5714285714285714,0.0,1.0,1.0,0.1,0.1,0.1,0.9,False,ASL
39851.npz,75,0.0,0.6253968253968254,0.013333333333333334,1.0,0.9866666666666667,0.21333333333333335,0.21333333333333335,0.21333333333333335,0.7866666666666666,False,ASL
39853.npz,60,0.016666666666666666,0.5317460317460317,0.06666666666666667,0.9833333333333333,0.9333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,False,ASL
39854.npz,60,0.016666666666666666,0.5317460317460317,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,False,ASL
39857.npz,67,0.0,0.6943852167732765,0.0,1.0,1.0,0.3582089552238806,0.3582089552238806,0.3582089552238806,0.6417910447761195,False,ASL
39874.npz,60,0.0,0.7063492063492064,0.0,1.0,1.0,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.6166666666666667,False,ASL
39875.npz,71,0.0,0.6713615023474179,0.0,1.0,1.0,0.30985915492957744,0.30985915492957744,0.30985915492957744,0.6901408450704225,False,ASL
39877.npz,60,0.016666666666666666,0.5317460317460317,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,False,ASL
39878.npz,60,0.0,0.5238095238095238,0.0,1.0,1.0,0.0,0.0,0.0,1.0,False,ASL
39879.npz,60,0.0,0.5238095238095238,0.0,1.0,1.0,0.0,0.0,0.0,1.0,False,ASL
39881.npz,75,0.0,0.6761904761904762,0.17333333333333334,1.0,0.8266666666666667,0.32,0.32,0.32,0.6799999999999999,False,ASL
39951.npz,60,0.0,0.40476190476190477,0.000641025641025641,1.0,0.9993589743589744,0.35,0.35,0.35,0.65,False,ASL
39952.npz,67,0.0,0.3745557924662402,0.03214695752009185,1.0,0.9678530424799081,0.31343283582089554,0.31343283582089554,0.31343283582089554,0.6865671641791045,False,ASL
39953.npz,87,0.0,0.3322386425834702,0.0,1.0,1.0,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.7241379310344828,False,ASL
