dataset,gloss,num_samples,mean_total_motion,mean_velocity,motion_variance_mean,acceleration_mean,trajectory_length_mean,direction_change_mean,motion_complexity_score
VSL,mất trí,1.0,61.06508566834964,18.86722249299595,1.0692245960235596,16.694906339676756,61.06508594215848,90.0,0.24133407
VSL,ống nhòm,1.0,85.12464293278754,12.444807308912278,0.2150423675775528,7.915530706153197,85.12464298726991,236.0,0.24081987
VSL,tập thể,1.0,60.45323462970555,23.227992290869736,0.7442434430122375,17.207407068896604,60.453234961489215,76.0,0.23975372
VSL,reo hò,1.0,63.55952240899205,22.410339415073395,0.7325518131256104,14.22058805113747,63.55952220526524,78.0,0.23822379
VSL,vịnh,1.0,74.54754809848964,18.93381320824057,0.2077304720878601,11.621665270164096,74.54754773713648,92.0,0.2364363
VSL,xưa,3.0,54.34885363963743,19.986688256032263,0.445687286555767,12.458803319848627,54.34885363808522,48.333333333333336,0.23109846
VSL,tổng kết_bế giảng,3.0,60.865176341651626,14.833913777254637,0.4008237520853678,8.67415324308626,60.86517644510605,128.66666666666666,0.23058172
VSL,vũ trụ,1.0,64.38267824053764,22.70057446535896,0.4074521660804748,13.406668330941882,64.3826782759279,76.0,0.22952144
VSL,múa lân,1.0,58.457154316827655,24.67550540642,0.5834315419197083,14.951717470373426,58.45715419389308,78.0,0.2279529
VSL,vô tư,1.0,54.37297958880663,26.714068064924145,0.5177268385887146,18.136147777239483,54.37297977693379,61.0,0.22768344
VSL,tôm hùm,1.0,67.47529610991478,16.85195497001211,0.5018274784088135,12.731059987254504,67.47529637569096,135.0,0.22721499
VSL,thèm rỏ dãi,1.0,61.955369452014565,21.590725276012755,0.7457149624824524,11.523146106215084,61.9553695213981,76.0,0.2271527
VSL,trốn chạy,3.0,46.89744391789039,19.97524885773083,0.2720175161957741,9.413962655089216,46.89744385611266,51.0,0.22715072
VSL,héo,1.0,55.267646092921495,22.38339594892553,0.5665360689163208,19.794674120537223,55.26764608547092,56.0,0.22714001
VSL,cây trồng,1.0,53.66421510465443,24.004723846912384,0.6679633259773254,18.068268436374087,53.66421512328088,54.0,0.2252516
VSL,đầu hàng,1.0,44.5261649787426,28.392534585709267,0.9458824992179872,20.341223027395166,44.52616497315466,45.0,0.22519577
VSL,Mexico (nước Mexico),3.0,54.1917821560055,27.412255227481,0.6168995226422945,15.085555239029476,54.19178217385585,46.333333333333336,0.22430961
VSL,cây số,1.0,74.87629681825638,14.960283715724945,0.2430475056171417,8.691293828793475,74.87629647739232,139.0,0.22422224
VSL,vĩ đại,1.0,42.06907799839973,35.02250658141242,0.6601149439811707,20.44168303353446,42.06907790526748,26.0,0.22361235
VSL,gầy (miền Nam_ ốm),3.0,46.62470198050141,10.8697400377716,0.2032966961463292,7.588560194343761,46.62470185919665,140.0,0.22314435
VSL,nắn nót,1.0,81.31362000852823,10.977338495018246,0.0999929085373878,6.620212551680479,81.31362021015957,208.0,0.22305866
VSL,xa vô tận,1.0,74.11490060575306,14.238612274328869,0.2638052105903625,8.805881197576399,74.11490102950484,159.0,0.22200668
VSL,sóng thần,1.0,63.17072124034166,19.3186373917424,0.4961468875408172,12.672078946202072,63.17072103684768,94.0,0.22141068
VSL,tinh mắt,1.0,85.73455193266273,7.786255931086613,0.0900605395436286,3.946999633022355,85.73455217457376,364.0,0.22105165
VSL,lên ngôi,1.0,55.905085012316704,22.045728480345325,0.6294744610786438,15.910203227996826,55.90508490521461,60.0,0.22080474
VSL,chuyên gia,3.0,55.8800112977624,21.699989686652746,0.6057821412881216,15.690211513477438,55.88001151227703,82.66666666666667,0.22010976
VSL,quốc khánh,1.0,61.58743850514293,19.84704832940973,0.4922385811805725,12.956309867941815,61.58743811864406,94.0,0.21924587
VSL,xào,1.0,79.40773838851601,10.967050066054693,0.1355847120285034,6.327846095517829,79.40773821179755,241.0,0.21895991
VSL,môn Giáo dục công dân,1.0,55.44661024957895,21.30429316789676,0.7296075820922852,14.731838966344858,55.44660998089239,72.0,0.2185212
VSL,cầu tre,1.0,74.67406400339678,13.64622959639968,0.2062763571739196,7.719098172621963,74.6740639382042,145.0,0.21807654
VSL,trình độ,1.0,67.15230895299464,14.90781220904103,0.2668947577476501,12.847531735448907,67.15230895299464,51.0,0.21652906
