dataset,gloss,num_samples,mean_distance,median_distance,std_distance,within_class_variance,max_distance
VSL,rưỡi,3,5.078489834567728,3.8622247850821143,1.7549207924471446,3.0797469877633143,7.560160450381755
VSL,quả nhãn,3,5.073141474785694,3.9088280643148923,1.758119534609561,3.0909842979757394,7.557864120694899
VSL,công nghiệp,3,5.071117360471092,3.9328285352285586,1.7036590249238301,2.9024540732044155,7.479257429028665
VSL,tái phạm,3,5.063276970783384,3.965651767486668,1.741591150785054,3.0331397364928088,7.521572169774565
VSL,điều phối,2,5.055123431813906,5.055123431813906,0.0,0.0,5.055123431813906
VSL,áo phông,3,5.053018089585481,5.430731803289,0.6099129171302127,0.3719937664822856,5.535719057930963
VSL,gạo,3,5.0379904381931695,4.135539155895241,1.6959693557679152,2.876312055703837,7.4137041530554715
VSL,phim hoạt hình,3,5.025034878259388,4.82996566876168,0.6255818618530712,0.391352665879555,5.869891369111403
VSL,thầy giáo,3,5.017543867203856,4.705771628870684,0.6588972325614251,0.43414556307710467,5.933901483646442
VSL,thông minh,3,5.016086704223208,3.7921874246916296,1.7532983494028154,3.074055102018637,7.495557580333988
VSL,nhà nước,3,4.9873944326951865,4.354220016230948,1.6658071025410752,2.7749133028762927,7.269099340472505
VSL,lễ Nô-en,3,4.9812404302570705,4.8991144689234725,0.5321463086921926,0.2831796938547263,5.670154501559954
VSL,lười,3,4.976175092998539,3.8613755028346,1.6457968801714529,2.7086473707820873,7.303006283049204
VSL,cộng (Toán học),3,4.966713178413744,3.8399108693940742,1.7449583187916018,3.0448795343200135,7.431444582714755
VSL,không nên,3,4.944705814563811,3.8637512918565284,1.6341007633045859,2.6702853046326305,7.254103918360084
VSL,nghé,3,4.933289330104531,4.78644068322553,1.6342875115728874,2.6708956704831004,7.004254669870606
VSL,tiếp tục,3,4.932632543230954,4.174592934806489,1.5549018995531805,2.417719917234089,7.099279780633867
VSL,tháng,3,4.890384349381481,3.8718230199534043,1.6026249750353199,2.5684068106069597,7.153093036443663
VSL,Tết Trung thu,3,4.889541867696004,3.8450892001279633,1.6756659093775945,2.8078562398502407,7.253947163655758
VSL,mỗi ngày,3,4.887646312467599,3.6820670245108253,1.7266387523498907,2.9812813811163874,7.329418285619328
VSL,bánh cuốn,3,4.886656601578994,3.814375352434894,1.6873828005663336,2.847260715647083,7.26902331347651
VSL,bút màu,3,4.87035208850213,3.6600826490350076,1.7203568171157229,2.9596275781965407,7.303293493914941
VSL,cá kho,3,4.8497568657176044,5.31957211371267,1.0115782109619267,1.0232904768929323,5.785059026289871
VSL,lễ hội,3,4.832472335264154,3.68336657092221,1.654529364904897,2.7374674193326025,7.172207385305058
VSL,xà phòng giặt,3,4.823134821373171,4.812332570997677,1.4314540779253369,2.049060777209076,6.581677027408015
VSL,nhà trường,3,4.821071548691886,3.7404966422346515,1.6969370994765218,2.879595519579791,7.21706956206206
VSL,xà phòng,3,4.790868591245478,3.764184815240055,1.6397926656044128,2.6889199861700255,7.104993724761228
VSL,bao giờ_,3,4.788895404190402,3.9750462799637423,1.619546252893631,2.6229300652618015,7.049905266428655
VSL,trông nom,3,4.786733417254149,3.625284727003356,1.690699383616439,2.8584644057610067,7.177423042040332
VSL,loài vật,3,4.768479916002479,4.1149200941915645,1.417369137265929,2.008935271273964,6.736310580662009
VSL,chia,3,4.758842285518046,4.222015638136981,1.6384489331994267,2.6845149067023395,6.979340449334569
VSL,con người,3,4.745053263488639,3.6223733937835445,1.675483657450031,2.8072454863821323,7.113479433746795
VSL,phó hiệu trưởng,3,4.734907774973787,4.466922429408716,1.7227129542117485,2.96773992260897,6.9659812222700825
