dataset,gloss,video,path,hand,valid_frame_ratio,dominant_location,head_ratio,shoulder_ratio,chest_ratio,waist_ratio,below_waist_ratio
VSL,giá trị,W01433T.npz,dataset\VSL\giá trị\W01433T.npz,right,0.8466666666666667,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giá trị phần trăm,W01434B.npz,dataset\VSL\giá trị phần trăm\W01434B.npz,left,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giá trị phần trăm,W01434B.npz,dataset\VSL\giá trị phần trăm\W01434B.npz,right,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giá trị phần trăm,W01434N.npz,dataset\VSL\giá trị phần trăm\W01434N.npz,left,0.9576271186440678,shoulder,0.0,0.9734513274336283,0.02654867256637168,0.0,0.0
VSL,giá trị phần trăm,W01434N.npz,dataset\VSL\giá trị phần trăm\W01434N.npz,right,0.9576271186440678,shoulder,0.0,0.9823008849557522,0.017699115044247787,0.0,0.0
VSL,giá trị phần trăm,W01434T.npz,dataset\VSL\giá trị phần trăm\W01434T.npz,left,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giá trị phần trăm,W01434T.npz,dataset\VSL\giá trị phần trăm\W01434T.npz,right,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giám khảo,W01442.npz,dataset\VSL\giám khảo\W01442.npz,left,0.7222222222222222,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giám khảo,W01442.npz,dataset\VSL\giám khảo\W01442.npz,right,0.7222222222222222,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giám sát,D0255.npz,dataset\VSL\giám sát\D0255.npz,left,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giám sát,D0255.npz,dataset\VSL\giám sát\D0255.npz,right,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giám sát,W01426.npz,dataset\VSL\giám sát\W01426.npz,left,0.7373737373737373,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giám sát,W01426.npz,dataset\VSL\giám sát\W01426.npz,right,0.7373737373737373,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gián tiếp,W01447B.npz,dataset\VSL\gián tiếp\W01447B.npz,left,1.0,shoulder,0.0,0.961038961038961,0.012987012987012988,0.0,0.025974025974025976
VSL,gián tiếp,W01447B.npz,dataset\VSL\gián tiếp\W01447B.npz,right,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gián tiếp,W01447N.npz,dataset\VSL\gián tiếp\W01447N.npz,left,0.609375,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gián tiếp,W01447N.npz,dataset\VSL\gián tiếp\W01447N.npz,right,0.609375,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giáo dục,W01456.npz,dataset\VSL\giáo dục\W01456.npz,left,0.6823529411764706,shoulder,0.0,0.9827586206896551,0.017241379310344827,0.0,0.0
VSL,giáo dục,W01456.npz,dataset\VSL\giáo dục\W01456.npz,right,0.6823529411764706,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giã,W01432.npz,dataset\VSL\giã\W01432.npz,left,0.7105263157894737,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giã,W01432.npz,dataset\VSL\giã\W01432.npz,right,0.7105263157894737,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giãn cách xã hội,D0287.npz,dataset\VSL\giãn cách xã hội\D0287.npz,left,0.9008264462809917,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giãn cách xã hội,D0287.npz,dataset\VSL\giãn cách xã hội\D0287.npz,right,0.9008264462809917,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gió Lào,W01482.npz,dataset\VSL\gió Lào\W01482.npz,left,0.7419354838709677,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,gió Lào,W01482.npz,dataset\VSL\gió Lào\W01482.npz,right,0.7419354838709677,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giông bão,W01489.npz,dataset\VSL\giông bão\W01489.npz,left,0.8404255319148937,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giông bão,W01489.npz,dataset\VSL\giông bão\W01489.npz,right,0.8404255319148937,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giúp đỡ,W01497B.npz,dataset\VSL\giúp đỡ\W01497B.npz,left,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
