dataset,label,num_samples,num_pairs,intra_class_dtw_mean,intra_class_dtw_std,intra_class_dtw_min,intra_class_dtw_max,intra_class_dtw_median
ASL,gamble,5,10,1.2581518054008485,0.6466168939975947,0.37335294485092163,2.115711212158203,1.1890740394592285
ASL,wander,5,10,1.2571334481239318,0.5628544143849207,0.3977457880973816,2.2153241634368896,1.2549311518669128
ASL,forever,6,15,1.25611319343249,0.8487685480226553,0.35255876183509827,2.4870102405548096,0.9357678890228271
ASL,devil,3,3,1.2523587842782338,0.5642948821100728,0.4563003480434418,1.6989811658859253,1.6017948389053345
ASL,u,4,6,1.2516500155131023,0.7210981226472736,0.3215979337692261,2.191943645477295,1.2765955924987793
ASL,cool,16,120,1.2480905873080095,0.5497122614990578,0.2543086111545563,2.752870798110962,1.1928656101226807
ASL,v,4,6,1.2440754771232605,0.7267852531048031,0.27248138189315796,2.1755902767181396,1.2585179805755615
ASL,goal,7,21,1.2435650456519354,0.5224339495882931,0.4106907844543457,2.555020809173584,1.0806370973587036
ASL,period,5,10,1.2415240585803986,0.6603298205080332,0.2778504490852356,2.35248064994812,1.0634361505508423
ASL,sauce,4,6,1.2414728303750355,0.40121335766190785,0.7897738814353943,1.8771746158599854,1.1579794883728027
ASL,bowling,13,78,1.24108059799824,0.5957830576956915,0.21086469292640686,2.2804319858551025,1.4437775611877441
ASL,skinny,6,15,1.2377635836601257,0.4380953428357275,0.5530336499214172,1.9862059354782104,1.1743258237838745
ASL,stairs,6,15,1.2363382697105407,0.7914885990578103,0.3008635640144348,2.59029483795166,0.7721132636070251
ASL,m,4,6,1.2351746161778767,0.8045470460847959,0.32379424571990967,2.140282154083252,1.193115845322609
ASL,t,4,6,1.2322145501772563,0.6741346467293875,0.32811278104782104,2.105048656463623,1.2793622016906738
ASL,if,6,15,1.2311275243759154,0.4830637573507688,0.37307366728782654,2.2525014877319336,1.1995784044265747
ASL,auction,5,10,1.2277097582817078,0.2935529317331778,0.7719307541847229,1.6923444271087646,1.2677030563354492
ASL,g,4,6,1.225685030221939,0.7906917606744885,0.2549747824668884,2.237844228744507,1.2066876888275146
ASL,r,4,6,1.2240116794904072,0.7123831317894983,0.3390403985977173,2.1575863361358643,1.1873625218868256
ASL,around,5,10,1.2232344031333924,0.27682506736453416,0.6309089660644531,1.5137848854064941,1.3339834809303284
ASL,worry,5,10,1.2208125829696654,0.3503230916575942,0.7844671607017517,1.9072835445404053,1.1129427552223206
ASL,stare,7,21,1.2181344202586584,0.7754961925727553,0.1784057468175888,2.3986597061157227,0.8054488897323608
ASL,thailand,6,15,1.2174469153086345,0.7678481863935949,0.3168048560619354,2.6258130073547363,0.8462828397750854
ASL,clever,6,15,1.216969413558642,0.46313445756341154,0.16885052621364594,1.7804054021835327,1.4174989461898804
ASL,s,4,6,1.2155047903458278,0.7369122446119726,0.29721638560295105,2.1200807094573975,1.2104117572307587
ASL,objective,4,6,1.2153127839167912,0.6119681732429797,0.4652629792690277,1.955328345298767,1.1682571768760681
ASL,thankful,5,10,1.2149723708629607,0.3380568967382178,0.743297815322876,1.8045400381088257,1.134626030921936
ASL,onion,8,28,1.211485582802977,0.7089567077811326,0.16722539067268372,2.6386537551879883,0.9959395229816437
