rank,class_name,sample_count,cumulative_fraction
786,chữ hoa,1,0.4202200825309491
787,chữ viết,1,0.42044933516735444
788,chữa bệnh,1,0.4206785878037597
789,chữa cháy,1,0.42090784044016505
790,co dãn,1,0.4211370930765704
791,co giật,1,0.4213663457129757
792,coi thường,1,0.42159559834938104
793,con ba ba,1,0.4218248509857863
794,con bướm,1,0.42205410362219165
795,con chim,1,0.422283356258597
796,con chuồn chuồn,1,0.4225126088950023
797,con chuột nhắt,1,0.42274186153140764
798,con chồn,1,0.4229711141678129
799,con cua,1,0.42320036680421824
800,con cá sấu,1,0.4234296194406236
801,con cò,1,0.4236588720770289
802,con cóc,1,0.4238881247134342
803,con công,1,0.4241173773498395
804,con cú mèo,1,0.42434662998624484
805,con cừu,1,0.42457588262265017
806,con dâu,1,0.4248051352590555
807,con dê,1,0.4250343878954608
808,con dế,1,0.4252636405318661
809,con ghẹ,1,0.42549289316827144
810,con gián,1,0.42572214580467677
811,con gà,1,0.4259513984410821
812,con gái,1,0.42618065107748737
813,con gấu,1,0.4264099037138927
814,con hoẵng,1,0.42663915635029803
815,con hàu,1,0.42686840898670336
816,con hươu,1,0.4270976616231087
817,con khỉ,1,0.42732691425951397
818,con lươn,1,0.4275561668959193
819,con mực,1,0.42778541953232463
820,con nai,1,0.42801467216872996
821,con ngỗng,1,0.42824392480513523
822,con nhím,1,0.42847317744154056
823,con quạ,1,0.4287024300779459
824,con ruồi,1,0.4289316827143512
825,con rùa,1,0.42916093535075656
826,con rắn,1,0.42939018798716183
827,con rối,1,0.42961944062356716
828,con sâu,1,0.4298486932599725
829,con sò,1,0.4300779458963778
830,con sóc,1,0.43030719853278315
831,con sói,1,0.4305364511691884
832,con sông,1,0.43076570380559376
833,con số,1,0.4309949564419991
834,con tem,1,0.4312242090784044
835,con thỏ,1,0.4314534617148097
836,con trai,1,0.431682714351215
837,con trai (động vật),1,0.43191196698762035
838,con trăn,1,0.4321412196240257
839,con trỏ,1,0.432370472260431
840,con vượn,1,0.4325997248968363
841,con vẹt,1,0.4328289775332416
842,con vịt,1,0.43305823016964695
843,con đom đóm,1,0.4332874828060523
844,con đường,1,0.4335167354424576
845,con đẻ,1,0.4337459880788629
846,con ốc,1,0.4339752407152682
847,cong,1,0.43420449335167355
848,cua đồng,1,0.4344337459880789
849,cung cấp,1,0.4346629986244842
850,cung tên,1,0.4348922512608895
851,cuối năm,1,0.4351215038972948
852,cuối tháng,1,0.43535075653370015
853,cuối tuần,1,0.4355800091701055
854,cuốn,1,0.43580926180651075
855,cuống hoa,1,0.4360385144429161
856,cuống lá,1,0.4362677670793214
857,cuộc sống,1,0.43649701971572674
858,cuộc đời,1,0.43672627235213207
859,cuộn giấy vệ sinh,1,0.43695552498853735
860,cày,1,0.4371847776249427
861,cày ruộng,1,0.437414030261348
862,cá kiếm,1,0.43764328289775334
863,cá mập,1,0.43787253553415867
864,cá voi,1,0.43810178817056394
865,các bạn,1,0.4383310408069693
866,các bạn (2 người),1,0.4385602934433746
867,cách ly,1,0.43878954607977994
868,cái bè,1,0.4390187987161852
869,cái gùi,1,0.43924805135259054
870,cái neo,1,0.43947730398899587
871,cái nhíp,1,0.4397065566254012
872,cái túi,1,0.43993580926180653
873,cái vợt cá,1,0.4401650618982118
874,cánh buồm,1,0.44039431453461714
875,cánh tay,1,0.44062356717102247
876,cáp treo,1,0.4408528198074278
877,cát,1,0.44108207244383313
878,câu chuyện,1,0.4413113250802384
879,câu cá,1,0.44154057771664373
880,câu ghép,1,0.44176983035304906
881,câu văn,1,0.4419990829894544
882,câu đơn,1,0.44222833562585967
883,câu đố,1,0.442457588262265
884,câu đối,1,0.44268684089867033
885,cây cọ,1,0.44291609353507566
886,cây cối,1,0.443145346171481
887,cây gỗ,1,0.44337459880788627
888,cây khế,1,0.4436038514442916
889,cây nến,1,0.4438331040806969
890,cây sả,1,0.44406235671710226
891,cây số,1,0.4442916093535076
892,cây thông,1,0.44452086198991286
893,cây tre,1,0.4447501146263182
894,cây trồng,1,0.4449793672627235
895,cây xanh,1,0.44520861989912885
896,cây đa,1,0.4454378725355342
897,cãi nhau,1,0.44566712517193946
898,còi,1,0.4458963778083448
899,còi xương,1,0.4461256304447501
900,còn bạn?,1,0.44635488308115545
901,còng,1,0.4465841357175607
902,còng (cái còng),1,0.44681338835396606
903,có ích,1,0.4470426409903714
904,có … không?,1,0.4472718936267767
905,cô dâu,1,0.44750114626318205
906,cô đơn,1,0.4477303988995873
907,côn trùng,1,0.44795965153599265
908,công bằng,1,0.448188904172398
909,công chúa,1,0.4484181568088033
910,công cộng,1,0.44864740944520864
911,công cụ,1,0.4488766620816139
912,công nhận,1,0.44910591471801925
913,công sức,1,0.4493351673544246
914,công thức,1,0.4495644199908299
915,công trường,1,0.4497936726272352
916,công tắc,1,0.4500229252636405
917,công việc,1,0.45025217790004585
918,công văn,1,0.4504814305364512
919,công ước,1,0.4507106831728565
920,cõng,1,0.4509399358092618
921,cù,1,0.4511691884456671
922,cùi chỏ,1,0.45139844108207244
923,cùng / với (giới từ),1,0.4516276937184778
924,cúc áo,1,0.4518569463548831
925,cúi,1,0.4520861989912884
926,căm thù,1,0.4523154516276937
