video,frames,pose_missing,hand_missing,face_missing,pose_detection,face_detection,left_hand_missing_rate,right_hand_missing_rate,both_hand_missing_rate,hand_detection_rate,usable,dataset
43729.npz,60,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9666666666666667,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9666666666666667,True,ASL
43730.npz,60,0.016666666666666666,0.025,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,True,ASL
43733.npz,60,0.0,0.7,0.016666666666666666,1.0,0.9833333333333333,0.55,0.55,0.55,0.44999999999999996,False,ASL
66312.npz,60,0.0,0.45,0.0,1.0,1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.5666666666666667,False,ASL
43800.npz,60,0.0,0.5583333333333333,0.0,1.0,1.0,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.4833333333333333,False,ASL
43801.npz,60,0.0,0.2,0.016666666666666666,1.0,0.9833333333333333,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.8833333333333333,True,ASL
43802.npz,60,0.016666666666666666,0.25833333333333336,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.2,0.2,0.2,0.8,True,ASL
43807.npz,60,0.0,0.6166666666666667,0.1,1.0,0.9,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.43333333333333335,False,ASL
43809.npz,60,0.0,0.6083333333333333,0.016666666666666666,1.0,0.9833333333333333,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.43333333333333335,False,ASL
43810.npz,60,0.016666666666666666,0.35833333333333334,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.7333333333333334,False,ASL
43812.npz,60,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,ASL
43814.npz,60,0.0,0.475,0.0,1.0,1.0,0.4,0.4,0.4,0.6,False,ASL
66313.npz,60,0.0,0.4583333333333333,0.0,1.0,1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.5666666666666667,False,ASL
43829.npz,60,0.0,0.8,0.0,1.0,1.0,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.21666666666666667,False,ASL
43830.npz,60,0.016666666666666666,0.18333333333333332,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.8833333333333333,True,ASL
43833.npz,60,0.016666666666666666,0.041666666666666664,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9666666666666667,True,ASL
43834.npz,60,0.03333333333333333,0.05,0.03333333333333333,0.9666666666666667,0.9666666666666667,0.05,0.05,0.05,0.95,True,ASL
43835.npz,60,0.05,0.06666666666666667,0.05,0.95,0.95,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9333333333333333,True,ASL
43836.npz,60,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,True,ASL
43839.npz,60,0.0,0.65,0.016666666666666666,1.0,0.9833333333333333,0.65,0.65,0.65,0.35,False,ASL
66316.npz,60,0.0,0.49166666666666664,0.0,1.0,1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.5666666666666667,False,ASL
43873.npz,60,0.016666666666666666,0.35,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.7166666666666667,False,ASL
43885.npz,60,0.0,0.6583333333333333,0.0,1.0,1.0,0.65,0.65,0.65,0.35,False,ASL
43901.npz,60,0.0,0.425,0.016666666666666666,1.0,0.9833333333333333,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6333333333333333,False,ASL
43902.npz,60,0.0,0.24166666666666667,0.016666666666666666,1.0,0.9833333333333333,0.15,0.15,0.15,0.85,True,ASL
43903.npz,60,0.0,0.20833333333333334,0.016666666666666666,1.0,0.9833333333333333,0.15,0.15,0.15,0.85,True,ASL
43904.npz,60,0.016666666666666666,0.36666666666666664,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.3,0.3,0.3,0.7,False,ASL
43907.npz,60,0.016666666666666666,0.06666666666666667,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,True,ASL
43908.npz,60,0.06666666666666667,0.11666666666666667,0.06666666666666667,0.9333333333333333,0.9333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9333333333333333,True,ASL
